Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"World","715801","Notavailable","18.5","15.5","2.36",
"India","138655","Notavailable","20.9","20.2","3.66",
"China","118287","Notavailable","16.8","11.5","1.49",
"Indonesia","39146","Notavailable","28.8","26.2","3.87",
"Brazil","22410","Notavailable","20.7","15.7","2.81",
"Russian Federation","19290","Notavailable","24.6","16.6","2.13",
"United States of America","28981","Notavailable","17.3","11.2","1.77",
"Japan","15460","Notavailable","23.9","16.4","1.93",
"Nigeria","13650","Notavailable","13.4","20.9","3.34",
"South Africa","11661","Notavailable","38.8","38.4","6.00",
"Tanzania, United Republic of","11037","Notavailable","36.9","67.3","10.25",
"Mexico","10506","Notavailable","16.0","14.0","2.40",
"Thailand","9934","Notavailable","27.7","17.6","2.84",
"Bangladesh","9484","Notavailable","11.6","12.4","1.69",
"Philippines","8368","Notavailable","15.3","16.1","2.65",
"Congo, Democratic Republic of","8473","Notavailable","18.9","34.9","6.02",
"Ethiopia","8274","Notavailable","14.4","23.7","3.62",
"Myanmar","7508","Notavailable","26.6","23.8","3.63",
"Uganda","7175","Notavailable","30.9","58.1","8.02",
"Mozambique","5700","Notavailable","35.5","53.7","6.58",
"Kenya","5622","Notavailable","20.8","33.9","4.77",
"Pakistan","5958","Notavailable","5.6","7.3","1.04",
"Ukraine","5966","Notavailable","25.4","16.6","2.09",
"Colombia","5800","Notavailable","22.4","17.9","3.21",
"Germany","11878","Notavailable","28.0","14.9","2.45",
"Argentina","5305","Notavailable","22.9","18.6","2.62",
"Peru","4831","Notavailable","29.1","24.9","4.42",
"Malawi","4406","Notavailable","45.4","72.0","7.97",
"Viet Nam","4776","Notavailable","9.8","7.6","1.37",
"Poland","5410","Notavailable","27.7","15.6","2.53",
"United Kingdom","7459","Notavailable","21.7","15.5","2.05",
"Madagascar","4149","Notavailable","29.9","45.4","6.48",
"Venezuela, Bolivarian Republic of","4195","Notavailable","29.0","25.0","4.27",
"Romania","4223","Notavailable","42.7","26.2","3.55",
"France","7749","Notavailable","23.0","13.1","2.16",
"Korea, Republic of","3826","Notavailable","14.9","9.2","1.32",
"Angola","3549","Notavailable","21.4","41.7","6.79",
"Zambia","3386","Notavailable","36.5","69.5","9.99",
"Italy","5909","Notavailable","19.0","10.1","1.59",
"Zimbabwe","3258","Notavailable","41.9","65.8","11.29",
"Ghana","2998","Notavailable","19.6","29.2","6.12",
"Cameroon","2947","Notavailable","22.2","36.1","4.75",
"Turkey","3102","Notavailable","7.3","5.8","1.03",
"Nepal","2331","Notavailable","14.8","17.0","3.86",
"Morocco","2647","Notavailable","14.2","12.6","2.36",
"Guinea","2118","Notavailable","31.2","51.3","8.41",
"Côte d'Ivoire","2209","Notavailable","16.9","33.3","6.50",
"Bolivia, Plurinational State of","2069","Notavailable","35.6","38.2","4.44",
"Korea, Democratic Republic of","2089","Notavailable","15.9","11.8","1.49",
"Spain","3572","Notavailable","15.0","8.1","1.34",
"Senegal","2044","Notavailable","23.8","38.2","6.00",
"Mali","2053","Notavailable","20.3","38.5","5.41",
"Uzbekistan","2231","Notavailable","13.3","13.2","1.81",
"Kazakhstan","2043","Notavailable","21.1","17.8","2.42",
"Malaysia","1944","Notavailable","12.4","11.4","2.00",
"Algeria","1867","Notavailable","8.6","8.8","1.60",
"Burundi","1675","Notavailable","28.0","52.4","7.69",
"Guatemala","1604","Notavailable","17.6","21.0","3.80",
"Ecuador","1740","Notavailable","19.7","18.0","3.67",
"Chile","1817","Notavailable","18.8","12.8","2.33",
"Canada","3299","Notavailable","17.4","10.4","1.73",
"Sri Lanka","1611","Notavailable","14.5","10.4","1.79",
"Egypt","1810","Notavailable","3.6","4.0","0.95",
"Hungary","1738","Notavailable","34.3","21.5","2.91",
"Rwanda","1343","Notavailable","20.4","31.0","4.86",
"Sudan","1482","Notavailable","6.8","10.5","1.81",
"Serbia","1505","Notavailable","33.8","21.5","2.97",
"Afghanistan","1348","Notavailable","7.1","11.8","1.64",
"Cuba","1558","Notavailable","27.3","17.2","2.63",
"Paraguay","1241","Notavailable","35.4","36.0","5.65",
"Cambodia","1230","Notavailable","14.4","15.3","2.35",
"Burkina Faso","1267","Notavailable","12.1","20.2","2.52",
"Papua New Guinea","1178","Notavailable","26.9","32.5","5.02",
"Dominican Republic","1175","Notavailable","21.6","19.4","3.95",
"Iran, Islamic Republic of","1258","Notavailable","3.0","2.8","0.63",
"Somalia","1154","Notavailable","14.5","27.4","4.00",
"Bulgaria","1213","Notavailable","33.9","20.3","2.73",
"Australia","2001","Notavailable","15.6","10.3","1.64",
"Chad","968","Notavailable","11.8","22.1","3.24",
