Country Name,Country Code,GINI per capita
Aruba,ABW,
Africa Eastern and Southern,AFE,1406.289007
Afghanistan,AFG,500
Africa Western and Central,AFW,1654.42566
Angola,AGO,2140
Albania,ALB,5210
Andorra,AND,
Arab World,ARB,5932.74187
United Arab Emirates,ARE,39410
Argentina,ARG,9070
Armenia,ARM,4220
American Samoa,ASM,
Antigua and Barbuda,ATG,13750
Australia,AUS,53680
Austria,AUT,48360
Azerbaijan,AZE,4480
Burundi,BDI,230
Belgium,BEL,45800
Benin,BEN,1280
Burkina Faso,BFA,770
Bangladesh,BGD,2030
Bulgaria,BGR,9630
Bahrain,BHR,19900
"Bahamas, The",BHS,26070
Bosnia and Herzegovina,BIH,6080
Belarus,BLR,6360
Belize,BLZ,4110
Bermuda,BMU,112240
Bolivia,BOL,3180
Brazil,BRA,7850
Barbados,BRB,14350
Brunei Darussalam,BRN,31510
Bhutan,BTN,2840
Botswana,BWA,6640
Central African Republic,CAF,500
Canada,CAN,43540
Central Europe and the Baltics,CEB,15794.58002
Switzerland,CHE,82620
Channel Islands,CHI,
Chile,CHL,13470
China,CHN,10550
Cote d'Ivoire,CIV,2280
Cameroon,CMR,1520
"Congo, Dem. Rep.",COD,550
"Congo, Rep.",COG,1770
Colombia,COL,5790
Comoros,COM,1400
Cabo Verde,CPV,3060
Costa Rica,CRI,11530
Caribbean small states,CSS,8875.085909
Cuba,CUB,
Curacao,CUW,17150
Cayman Islands,CYM,64000
Cyprus,CYP,26440
Czech Republic,CZE,22070
Germany,DEU,47520
Djibouti,DJI,3310
Dominica,DMA,7270
Denmark,DNK,63010
Dominican Republic,DOM,7260
Algeria,DZA,3570
East Asia & Pacific (excluding high income),EAP,8323.880237
Early-demographic dividend,EAR,3257.915112
East Asia & Pacific,EAS,11745.24381
Europe & Central Asia (excluding high income),ECA,7914.557739
Europe & Central Asia,ECS,24056.82373
Ecuador,ECU,5530
"Egypt, Arab Rep.",EGY,3000
Euro area,EMU,38125.18568
Eritrea,ERI,
Spain,ESP,27360
Estonia,EST,
Ethiopia,ETH,890
European Union,EUU,34260.43337
Fragile and conflict affected situations,FCS,1629.618102
Finland,FIN,49800
Fiji,FJI,4890
France,FRA,39500
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3950
Gabon,GAB,7030
United Kingdom,GBR,39830
Georgia,GEO,4260
Ghana,GHA,2340
Gibraltar,GIB,
Guinea,GIN,1020
"Gambia, The",GMB,750
Guinea-Bissau,GNB,760
Equatorial Guinea,GNQ,5810
Greece,GRC,17950
Grenada,GRD,9410
Greenland,GRL,
Guatemala,GTM,4490
Guam,GUM,
Guyana,GUY,7130
High income,HIC,44475.62101
"Hong Kong SAR, China",HKG,48630
Honduras,HND,2180
Heavily indebted poor countries (HIPC),HPC,959.0290015
Croatia,HRV,14530
Haiti,HTI,1320
Hungary,HUN,15890
IBRD only,IBD,6269.816523
IDA & IBRD total,IBT,4978.733368
IDA total,IDA,1305.147647
IDA blend,IDB,1664.756395
Indonesia,IDN,3870
IDA only,IDX,1123.464213
Isle of Man,IMN,
India,IND,1920
Not classified,INX,
Ireland,IRL,65750
"Iran, Islamic Rep.",IRN,2960
Iraq,IRQ,4680
Iceland,ISL,62410
Israel,ISR,42610
Italy,ITA,32360
Jamaica,JAM,4670
Jordan,JOR,4310
Japan,JPN,
Kazakhstan,KAZ,8710
Kenya,KEN,1840
Kyrgyz Republic,KGZ,1170
Cambodia,KHM,1500
Kiribati,KIR,2960
St. Kitts and Nevis,KNA,19080
"Korea, Rep.",KOR,32930
Kuwait,KWT,
Latin America & Caribbean (excluding high income),LAC,7211.510472
Lao PDR,LAO,2520
Lebanon,LBN,5370
Liberia,LBR,570
Libya,LBY,4960
St. Lucia,LCA,8560
Latin America & Caribbean,LCN,7611.83675
Least developed countries: UN classification,LDC,1061.826778
Low income,LIC,668.8154235
Liechtenstein,LIE,
Sri Lanka,LKA,3720
Lower middle income,LMC,2217.149029
Low & middle income,LMY,4843.286403
Lesotho,LSO,1100
Late-demographic dividend,LTE,9860.565117
Lithuania,LTU,19620
Luxembourg,LUX,81110
Latvia,LVA,17890
