Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"World","136819","Notavailable","3.5","3.1","0.65",
"India","30963","Notavailable","4.3","4.6","1.07",
"United States of America","14831","Notavailable","9.1","5.7","1.00",
"China","11498","Notavailable","1.5","1.0","0.23",
"Brazil","7038","Notavailable","6.7","5.7","1.26",
"France","4504","Notavailable","14.3","8.0","1.42",
"Russian Federation","4460","Notavailable","6.6","4.5","0.77",
"Bangladesh","4183","Notavailable","5.0","5.5","0.96",
"Germany","4264","Notavailable","10.3","5.3","0.97",
"United Kingdom","3417","Notavailable","10.2","6.2","1.04",
"Japan","3094","Notavailable","5.0","2.0","0.46",
"Ukraine","1852","Notavailable","9.1","6.0","1.00",
"Poland","1916","Notavailable","10.4","6.0","1.17",
"Romania","1491","Notavailable","15.9","9.8","1.50",
"Italy","2010","Notavailable","6.8","3.2","0.64",
"Indonesia","2549","Notavailable","1.9","1.9","0.36",
"Canada","1469","Notavailable","7.8","4.4","0.81",
"Spain","1804","Notavailable","7.9","4.0","0.83",
"Thailand","1779","Notavailable","5.2","3.5","0.65",
"Pakistan","1619","Notavailable","1.4","2.0","0.36",
"Australia","1165","Notavailable","9.2","6.0","1.04",
"Mexico","1046","Notavailable","1.7","1.6","0.45",
"Nigeria","840","Notavailable","0.80","1.4","0.24",
"Cuba","754","Notavailable","13.4","7.6","1.56",
"Myanmar","999","Notavailable","3.8","4.2","0.99",
"Korea, Republic of","769","Notavailable","3.0","1.6","0.36",
"Colombia","1102","Notavailable","4.4","3.9","0.96",
"Belarus","622","Notavailable","14.1","9.3","1.44",
"Viet Nam","1161","Notavailable","2.4","2.2","0.49",
"Argentina","796","Notavailable","3.6","3.1","0.62",
"South Africa","789","Notavailable","2.7","3.3","0.61",
"Belgium","581","Notavailable","10.1","5.5","1.05",
"Sri Lanka","566","Notavailable","5.5","4.2","0.82",
"Czechia","579","Notavailable","11.0","5.9","1.23",
"Hungary","462","Notavailable","10.0","5.9","0.97",
"Venezuela, Bolivarian Republic of","695","Notavailable","5.0","4.7","1.08",
"Denmark","493","Notavailable","17.1","9.3","1.73",
"Portugal","569","Notavailable","11.8","5.9","1.15",
"Tanzania, United Republic of","551","Notavailable","1.8","4.9","1.52",
"Uganda","494","Notavailable","2.2","6.1","1.84",
"Philippines","578","Notavailable","1.1","1.3","0.31",
"Sweden","500","Notavailable","9.9","5.4","1.04",
"Switzerland","457","Notavailable","10.6","5.6","1.13",
"The Netherlands","614","Notavailable","7.2","3.5","0.79",
"Peru","517","Notavailable","3.2","2.7","0.84",
"Slovakia","348","Notavailable","13.1","8.2","1.34",
"Congo, Democratic Republic of","497","Notavailable","1.1","2.4","0.61",
"Austria","394","Notavailable","8.9","4.7","0.93",
"Egypt","310","Notavailable","0.60","0.76","0.18",
"Madagascar","306","Notavailable","2.2","4.4","1.15",
"Republic of Moldova","218","Notavailable","11.3","8.2","1.37",
"Nepal","254","Notavailable","1.9","2.3","0.33",
"Serbia","310","Notavailable","7.2","4.3","0.80",
"Angola","338","Notavailable","2.1","4.8","1.02",
"Uzbekistan","346","Notavailable","2.1","2.6","0.54",
"Turkey","302","Notavailable","0.73","0.66","0.16",
"Finland","222","Notavailable","8.1","4.2","0.82",
"Bolivia, Plurinational State of","210","Notavailable","3.6","3.0","1.85",
"Cameroon","216","Notavailable","1.6","3.0","0.36",
"Ethiopia","284","Notavailable","0.49","0.89","0.15",
"Norway","237","Notavailable","8.6","5.0","1.00",
"Mozambique","235","Notavailable","1.5","3.1","0.45",
"Malawi","160","Notavailable","1.7","3.0","0.47",
"Zambia","154","Notavailable","1.7","3.7","0.73",
"Iran, Islamic Republic of","244","Notavailable","0.58","0.56","0.16",
"Slovenia","142","Notavailable","13.7","7.6","1.22",
"Paraguay","263","Notavailable","7.3","8.2","1.67",
"Bulgaria","190","Notavailable","5.6","3.0","0.56",
"Morocco","221","Notavailable","1.2","1.2","0.32",
"Ecuador","195","Notavailable","2.2","2.2","0.60",
"Malaysia","196","Notavailable","1.2","1.2","0.25",
"Dominican Republic","217","Notavailable","4.0","4.0","0.92",
"Afghanistan","185","Notavailable","0.93","2.0","0.41",
"Papua New Guinea","192","Notavailable","4.2","8.3","2.67",
"Puerto Rico","153","Notavailable","11.3","6.0","1.20",
"Zimbabwe","152","Notavailable","2.1","5.0","1.33",
"Rwanda","144","Notavailable","2.3","4.9","1.50",
"Greece","216","Notavailable","4.2","1.9","0.45",
"Kazakhstan","155","Notavailable","1.7","1.8","0.38",
"Croatia","140","Notavailable","7.1","3.8","0.67",
"Chile","209","Notavailable","2.2","1.6","0.37",
"Cambodia","190","Notavailable","2.3","3.1","0.60",
