Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"World","324635","[314175.0-335443.0]","4.2","3.4","0.86",
"United States of America","96445","[95001.4-97910.6]","29.1","16.6","3.62",
"Germany","31468","[30401.2-32572.2]","37.6","20.5","3.45",
"United Kingdom","19256","[18712.3-19815.5]","28.4","16.0","3.10",
"France","16449","[14851.9-18217.9]","25.2","15.2","2.48",
"Australia","16171","[15739.3-16614.6]","63.4","36.6","7.79",
"Italy","12515","[11463.7-13662.8]","20.7","12.2","1.79",
"Russian Federation","12231","[11916.1-12554.2]","8.4","5.0","0.96",
"Canada","8690","[8051.6-9379.0]","23.0","12.2","2.65",
"Brazil","8624","[7959.3-9344.2]","4.1","3.0","0.88",
"The Netherlands","8310","[7877.2-8766.6]","48.5","27.0","4.81",
"China","7714","[7019.8-8476.9]","0.53","0.36","0.08",
"Spain","5728","[5072.4-6468.4]","12.3","6.8","1.18",
"Sweden","4266","[4046.1-4497.9]","42.2","23.3","4.41",
"India","3916","[3269.3-4690.7]","0.28","0.29","0.08",
"Ukraine","3878","[3614.6-4160.6]","8.9","5.4","0.89",
"Poland","3732","[3372.9-4129.4]","9.9","5.1","1.17",
"Belgium","3372","[3050.0-3728.0]","29.1","18.6","2.82",
"Switzerland","3357","[2620.1-4301.1]","38.8","21.6","3.90",
"Denmark","2886","[2718.9-3063.4]","49.8","29.7","4.98",
"New Zealand","2801","[2573.3-3048.9]","58.1","31.6","7.45",
"Czechia","2587","[2322.5-2881.6]","24.2","13.0","2.57",
"Norway","2567","[2374.5-2775.1]","47.4","26.4","5.49",
"Finland","2090","[1934.4-2258.1]","37.7","19.5","3.79",
"Mexico","2051","[1768.7-2378.3]","1.6","1.5","0.34",
"Austria","2043","[1834.0-2275.8]","22.7","13.5","2.24",
"Colombia","1805","[1486.7-2191.4]","3.5","2.9","0.75",
"South Africa","1777","[1676.3-1883.7]","3.0","3.5","0.94",
"Turkey","1756","[1364.7-2259.6]","2.1","1.7","0.40",
"Argentina","1731","[1470.8-2037.2]","3.8","2.9","0.63",
"Indonesia","1609","[1005.5-2574.8]","0.59","0.59","0.13",
"Romania","1547","[1248.3-1917.2]","8.0","4.7","0.78",
"Japan","1514","[1278.8-1792.5]","1.2","0.49","0.11",
"Hungary","1482","[1191.4-1843.4]","15.3","8.4","1.57",
"Ireland","1316","[1141.6-1517.1]","26.7","17.1","3.47",
"Greece","1313","[926.6-1860.5]","12.6","7.2","1.14",
"Peru","1282","[1004.4-1636.3]","3.9","3.2","1.02",
"Israel","1167","[1036.7-1313.7]","13.5","10.3","2.09",
"Serbia","1116","[884.8-1407.6]","12.8","7.8","1.25",
"Portugal","1071","[849.3-1350.6]","10.5","5.6","0.97",
"Belarus","900","[756.1-1071.3]","9.5","5.8","1.01",
"Chile","857","[634.2-1158.1]","4.5","3.0","0.71",
"Slovakia","823","[756.7-895.1]","15.1","8.6","1.70",
"Slovenia","735","[618.8-873.0]","35.4","19.7","3.36",
"Korea, Republic of","734","[650.8-827.9]","1.4","0.74","0.18",
"Croatia","706","[599.9-830.8]","17.2","9.1","1.65",
"Bulgaria","627","[534.7-735.2]","9.0","4.7","0.90",
"Thailand","607","[474.0-777.3]","0.87","0.52","0.13",
"Congo, Democratic Republic of","598","[231.5-1544.6]","0.67","1.5","0.45",
"Iran, Islamic Republic of","569","[502.5-644.3]","0.68","0.67","0.20",
"Lithuania","511","[413.2-631.9]","18.8","9.8","1.81",
"Pakistan","502","[243.1-1036.4]","0.23","0.29","0.05",
"Venezuela, Bolivarian Republic of","482","[341.9-679.6]","1.7","1.5","0.38",
"Nigeria","479","[198.4-1156.2]","0.23","0.45","0.12",
"Bangladesh","457","[194.5-1073.8]","0.28","0.31","0.05",
"Ecuador","441","[345.0-563.7]","2.5","2.3","0.74",
"Philippines","418","[292.3-597.7]","0.38","0.45","0.13",
"Tanzania, United Republic of","382","[231.7-629.8]","0.64","1.4","0.58",
"Bolivia, Plurinational State of","286","[184.3-443.8]","2.5","2.4","0.62",
"Algeria","284","[201.9-399.4]","0.65","0.64","0.20",
"Estonia","277","[228.2-336.3]","20.9","11.6","2.12",
"Kenya","273","[154.4-482.8]","0.51","1.1","0.37",
"Uruguay","270","[187.5-388.8]","7.8","5.0","1.00",
"Georgia","259","[239.3-280.3]","6.5","4.1","0.75",
"Bosnia and Herzegovina","256","[193.2-339.2]","7.8","4.4","0.82",
"Kazakhstan","256","[219.7-298.3]","1.4","1.2","0.28",
"Morocco","248","[150.7-408.1]","0.67","0.61","0.16",
"Ethiopia","237","[104.7-536.7]","0.21","0.35","0.08",
"Latvia","234","[174.7-313.4]","12.4","6.3","1.26",
"Paraguay","223","[159.3-312.1]","3.1","3.3","1.05",
"Angola","221","[104.1-469.0]","0.67","1.8","0.59",
"Malawi","211","[102.3-435.3]","1.1","2.4","0.47",
"Papua New Guinea","205","[111.1-378.2]","2.3","3.5","0.91",
"North Macedonia","203","[145.6-283.1]","9.7","6.4","1.07",
"Viet Nam","193","[111.4-334.3]","0.20","0.16","0.04",
