Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"World","1414259","[1395310.0-1433460.0]","36.0","30.7","9.27",
"United States of America","209512","[201096.0-218280.0]","127.9","72.0","14.38",
"China","115426","[109679.0-121474.0]","15.6","10.2","3.94",
"Japan","106139","[93876.0-120004.0]","171.9","51.8","15.63",
"Brazil","97278","[93721.1-100970.0]","93.1","78.0","20.02",
"Germany","67959","[64485.8-71619.3]","164.1","66.0","17.45",
"France","66070","[62991.4-69299.1]","209.2","99.0","21.18",
"United Kingdom","56780","[55328.6-58269.5]","169.3","77.9","19.90",
"Russian Federation","46454","[45076.4-47873.7]","68.7","43.7","11.65",
"Italy","39317","[37088.5-41679.4]","133.6","59.9","11.96",
"Spain","34613","[32763.7-36566.7]","150.6","70.6","16.23",
"India","34540","[32554.4-36646.8]","4.8","5.5","2.09",
"Canada","29972","[28374.7-31659.2]","160.0","80.4","16.11",
"Mexico","26742","[25616.5-27916.9]","42.4","42.2","12.56",
"Turkey","19444","[16891.6-22382.0]","46.7","42.5","12.85",
"Poland","18079","[17108.7-19104.3]","98.6","47.5","14.53",
"Australia","16973","[16108.7-17883.6]","133.7","72.5","16.59",
"Nigeria","15306","[13352.2-17545.7]","14.7","34.6","8.85",
"The Netherlands","14580","[13905.2-15287.6]","170.8","73.9","17.40",
"Colombia","14460","[13522.7-15462.3]","57.9","49.8","15.03",
"Korea, Republic of","13873","[13296.8-14474.2]","54.1","27.3","8.67",
"Indonesia","13563","[11115.3-16549.7]","9.8","11.6","4.01",
"South Africa","13152","[12801.9-13511.7]","45.0","68.3","21.09",
"Argentina","11686","[11056.9-12350.9]","53.0","42.0","10.83",
"Ukraine","11361","[10870.2-11873.9]","56.1","33.2","9.08",
"Sweden","10949","[10364.0-11567.1]","216.4","100.4","22.08",
"Czechia","9117","[8596.2-9669.4]","172.9","83.0","18.69",
"Iran, Islamic Republic of","8937","[8610.1-9276.3]","21.1","21.2","9.27",
"Peru","8700","[7864.0-9624.9]","53.1","44.3","16.03",
"Thailand","8630","[7538.9-9879.0]","25.4","14.6","6.10",
"Philippines","8242","[7533.1-9017.6]","15.0","23.4","10.70",
"Belgium","8163","[7748.7-8599.5]","142.1","68.1","15.84",
"Chile","8157","[7463.9-8914.4]","86.5","56.7","18.34",
"Romania","8055","[7313.3-8871.9]","86.1","41.5","11.79",
"Congo, Democratic Republic of","7471","[3790.3-14725.8]","16.7","42.4","14.69",
"Venezuela, Bolivarian Republic of","7309","[6506.6-8210.3]","52.3","49.8","17.37",
"Portugal","6759","[6111.9-7474.6]","140.1","59.6","13.73",
"Switzerland","6705","[5993.8-7500.6]","156.2","75.6","16.13",
"Cuba","6369","[5973.0-6791.3]","113.3","57.6","15.88",
"Viet Nam","6248","[5199.9-7507.3]","12.9","12.2","2.75",
"Hungary","6234","[5388.2-7212.6]","135.6","66.5","17.24",
"Greece","6217","[5665.6-6822.0]","121.5","48.2","13.15",
