Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"World","74458","[68176.1-81318.7]","1.9","1.8","0.17",
"United States of America","9407","[9044.4-9784.2]","5.7","5.6","0.44",
"India","4681","[3961.0-5531.9]","0.65","0.63","0.08",
"Germany","4503","[4059.9-4994.4]","10.9","10.0","0.85",
"China","4502","[3982.2-5089.6]","0.61","0.58","0.05",
"Brazil","3388","[2854.6-4021.1]","3.2","2.9","0.34",
"Mexico","3337","[2914.8-3820.4]","5.3","4.9","0.45",
"France","2752","[1981.2-3822.8]","8.7","9.0","0.72",
"Russian Federation","2630","[2518.3-2746.6]","3.9","3.3","0.33",
"United Kingdom","2538","[2369.1-2718.9]","7.6","7.2","0.60",
"Japan","2458","[1833.7-3294.9]","4.0","4.2","0.33",
"Italy","2382","[1585.5-3578.7]","8.1","8.5","0.66",
"Argentina","2047","[1519.0-2758.5]","9.3","8.7","0.77",
"Turkey","1605","[1255.4-2052.0]","3.9","3.5","0.30",
"Indonesia","1497","[984.1-2277.2]","1.1","1.1","0.13",
"Colombia","1369","[939.5-1994.9]","5.5","4.8","0.42",
"Poland","1311","[970.0-1771.9]","7.1","6.6","0.55",
"Canada","1208","[1061.5-1374.8]","6.4","6.3","0.49",
"Spain","1093","[746.3-1600.7]","4.8","5.0","0.38",
"Nigeria","1005","[432.3-2336.5]","0.96","1.1","0.11",
"Australia","924","[837.1-1019.9]","7.3","6.9","0.55",
"The Netherlands","830","[707.1-974.3]","9.7","9.9","0.77",
"Chile","824","[572.9-1185.1]","8.7","7.6","0.78",
"Pakistan","754","[476.3-1193.5]","0.66","0.68","0.07",
"Ukraine","627","[545.4-720.8]","3.1","2.6","0.25",
"Peru","582","[310.5-1091.0]","3.6","3.3","0.33",
"Iran, Islamic Republic of","542","[484.4-606.4]","1.3","1.1","0.14",
"South Africa","491","[415.1-580.7]","1.7","1.7","0.23",
"Czechia","488","[409.3-581.8]","9.3","8.4","0.69",
"Hungary","476","[312.8-724.4]","10.4","9.5","0.73",
"Bangladesh","439","[126.6-1522.9]","0.53","0.48","0.05",
"Switzerland","429","[210.9-872.7]","10.0","9.4","0.75",
"Romania","418","[259.6-673.0]","4.5","4.1","0.35",
"Belgium","407","[301.3-549.9]","7.1","7.2","0.56",
"Serbia","389","[253.4-597.2]","9.1","8.8","0.67",
"Sweden","376","[319.8-442.1]","7.4","7.4","0.58",
"Korea, Republic of","362","[297.8-440.0]","1.4","1.4","0.11",
"Austria","358","[270.9-473.0]","8.1","7.2","0.62",
"Venezuela, Bolivarian Republic of","358","[249.4-513.9]","2.6","2.5","0.19",
"Philippines","358","[255.6-501.5]","0.65","0.68","0.08",
"Ecuador","352","[246.0-503.6]","4.0","3.8","0.39",
"Norway","343","[296.9-396.2]","12.5","11.8","0.95",
"Greece","321","[179.4-574.5]","6.3","6.4","0.50",
"Denmark","300","[244.9-367.5]","10.4","10.4","0.82",
"Viet Nam","291","[175.0-483.9]","0.60","0.63","0.08",
"Ethiopia","282","[134.1-593.1]","0.49","0.64","0.07",
"Egypt","273","[168.3-442.9]","0.53","0.55","0.06",
"Slovakia","263","[229.8-301.0]","9.9","9.5","0.74",
"Uzbekistan","259","[182.0-368.6]","1.6","1.5","0.13",
"Thailand","254","[184.8-349.2]","0.75","0.71","0.08",
"Guatemala","247","[169.1-360.9]","2.8","2.8","0.26",
"Portugal","244","[133.8-445.1]","5.1","5.6","0.42",
"Paraguay","240","[149.2-386.0]","6.6","6.1","0.58",
"Bulgaria","233","[174.7-310.8]","6.9","7.0","0.55",
"Iraq","219","[187.4-256.0]","1.1","1.2","0.12",
"Ireland","204","[154.5-269.4]","8.3","8.2","0.62",
"Saudi Arabia","199","[153.7-257.6]","0.99","0.82","0.07",
"Finland","198","[158.8-246.9]","7.2","7.3","0.58",
"Croatia","192","[114.7-321.3]","9.7","9.6","0.76",
"Afghanistan","182","[52.5-631.3]","0.91","1.0","0.09",
"New Zealand","175","[133.8-228.8]","7.4","7.3","0.58",
"Myanmar","174","[16.0-1896.8]","0.66","0.62","0.09",
"Syrian Arab Republic","173","[14.3-2094.9]","2.0","1.8","0.14",
"Belarus","152","[109.7-210.7]","3.5","3.0","0.29",
"Uruguay","145","[93.1-225.9]","8.6","8.1","0.67",
"Israel","142","[103.1-195.5]","3.3","3.3","0.29",
"Morocco","138","[80.0-238.0]","0.75","0.71","0.06",
"Algeria","137","[87.9-213.4]","0.62","0.58","0.07",
"Honduras","136","[51.6-358.5]","2.7","2.5","0.19",
"Kazakhstan","127","[103.7-155.6]","1.4","1.3","0.16",
"Cuba","125","[75.0-208.2]","2.2","1.6","0.28",
"Malaysia","119","[94.9-149.2]","0.72","0.65","0.05",
"Costa Rica","117","[72.9-187.7]","4.6","4.1","0.35",
"Slovenia","114","[67.3-193.1]","11.0","10.8","0.87",
"Georgia","111","[94.2-130.8]","5.8","5.2","0.62",
"Sudan","109","[76.4-155.6]","0.50","0.67","0.08",
"Lebanon","102","[71.1-146.3]","3.0","2.8","0.22",
"Jordan","90","[66.4-122.0]","1.7","1.7","0.13",
"Bolivia, Plurinational State of","89","[35.3-224.1]","1.5","1.6","0.14",
"Albania","83","[30.6-225.3]","5.7","5.3","0.44",
"Cambodia","82","[7.5-893.9]","1.0","0.95","0.07",
"Haiti","80","[40.3-159.0]","1.4","1.6","0.78",
"Sri Lanka","73","[53.3-99.9]","0.71","0.76","0.05",
"Bosnia and Herzegovina","71","[33.0-152.7]","4.4","4.2","0.35",
"Nicaragua","71","[36.6-137.7]","2.2","2.0","0.22",
"North Macedonia","69","[26.7-178.5]","6.6","6.5","0.46",
"Angola","67","[11.3-397.6]","0.41","0.71","0.16",
"Turkmenistan","66","[52.1-83.6]","2.2","2.0","0.17",
"Korea, Democratic Republic of","63","[27.0-146.7]","0.50","0.47","0.05",
"Congo, Democratic Republic of","63","[8.4-471.6]","0.14","0.22","0.04",
"Uganda","62","[23.5-163.7]","0.27","0.48","0.06",
"Singapore","59","[34.0-102.3]","1.9","2.0","0.14",
"Azerbaijan","58","[37.5-89.8]","1.1","1.0","0.13",
"Ghana","48","[5.9-387.4]","0.30","0.34","0.03",
