Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"World","586202","[579106.0-593385.0]","7.5","6.6","0.87",
"China","221093","[139553.0-350276.0]","15.3","11.3","1.25",
"United States of America","52912","[51023.8-54870.0]","16.0","11.8","1.52",
"Brazil","30607","[27133.0-34525.8]","14.4","11.9","1.43",
"India","20432","[19068.4-21893.2]","1.5","1.4","0.25",
"Japan","18087","[16347.6-20011.5]","14.3","8.0","1.17",
"Korea, Republic of","17788","[15131.6-20910.8]","34.7","26.6","2.58",
"Russian Federation","14479","[14110.1-14857.6]","9.9","7.0","0.89",
"Turkey","13682","[12518.1-14954.1]","16.2","14.3","1.63",
"Indonesia","13114","[11296.4-15224.1]","4.8","4.7","1.12",
"France","13109","[10994.1-15630.7]","20.1","14.8","1.74",
"Italy","12288","[10206.2-14794.5]","20.3","16.1","1.63",
"Mexico","11227","[9988.8-12618.6]","8.7","8.1","1.02",
"Canada","9325","[8478.6-10255.9]","24.7","17.4","2.12",
"Germany","6721","[5997.4-7531.9]","8.0","5.3","0.68",
"Philippines","6345","[5758.5-6991.2]","5.8","6.2","1.02",
"United Kingdom","5527","[5114.9-5972.3]","8.1","6.1","0.75",
"Viet Nam","5471","[5033.5-5946.6]","5.6","4.8","0.51",
"Colombia","5304","[4467.7-6296.9]","10.4","9.1","1.19",
"Ukraine","5101","[4775.6-5448.6]","11.7","8.6","0.93",
"Spain","5063","[4105.9-6243.2]","10.8","7.4","0.89",
"Iran, Islamic Republic of","4114","[3932.2-4304.2]","4.9","4.4","0.59",
"Argentina","4106","[3193.7-5278.9]","9.1","8.0","0.97",
"Poland","3999","[3323.6-4811.7]","10.6","7.2","0.91",
"Australia","3906","[3660.3-4168.2]","15.3","11.4","1.47",
"Thailand","3646","[3056.4-4349.4]","5.2","4.0","0.47",
"Ethiopia","3203","[2561.5-4005.2]","2.8","4.3","0.64",
"Saudi Arabia","2833","[2513.5-3193.1]","8.1","7.5","1.05",
"Pakistan","2762","[2123.7-3592.1]","1.3","1.5","0.18",
"Egypt","2661","[2261.7-3130.8]","2.6","2.9","0.49",
"Peru","2656","[2076.0-3398.1]","8.1","7.1","1.11",
"Morocco","2311","[2005.9-2662.5]","6.3","5.8","0.84",
"Algeria","2170","[1927.3-2443.2]","4.9","4.9","0.64",
"Romania","1707","[1335.3-2182.2]","8.9","6.3","0.74",
"Portugal","1698","[1156.0-2494.1]","16.7","11.7","1.32",
"Ecuador","1685","[1314.2-2160.4]","9.6","9.2","1.20",
"Iraq","1660","[1565.9-1759.8]","4.1","5.3","0.85",
"Sri Lanka","1617","[1530.5-1708.4]","7.6","6.8","0.69",
"Myanmar","1586","[745.1-3375.8]","2.9","2.7","0.35",
"Austria","1528","[1353.3-1725.2]","17.0","11.9","1.39",
"Bangladesh","1526","[570.8-4079.6]","0.93","0.95","0.13",
"Switzerland","1451","[1110.5-1895.9]","16.8","11.3","1.43",
"Czechia","1392","[1258.7-1539.4]","13.0","8.7","1.13",
"Israel","1387","[1223.6-1572.2]","16.0","14.3","1.87",
"Belgium","1320","[1166.9-1493.2]","11.4","8.4","1.00",
"Hungary","1311","[993.0-1730.8]","13.6","10.2","1.12",
"South Africa","1305","[1184.2-1438.2]","2.2","2.3","0.32",
"Venezuela, Bolivarian Republic of","1300","[970.6-1741.1]","4.6","4.2","0.59",
"Greece","1251","[932.9-1677.5]","12.0","8.5","0.98",
"Chile","1164","[872.3-1553.2]","6.1","4.8","0.63",
"Belarus","1128","[1056.2-1204.7]","11.9","9.0","0.97",
"Korea, Democratic Republic of","988","[544.2-1793.6]","3.8","3.1","0.34",
"Nigeria","978","[504.6-1895.7]","0.47","0.74","0.11",
"Syrian Arab Republic","939","[361.5-2439.2]","5.4","5.7","0.80",
"The Netherlands","873","[707.2-1077.7]","5.1","3.5","0.47",
"Malaysia","795","[714.2-885.0]","2.5","2.2","0.35",
"Cuba","750","[589.7-953.9]","6.6","4.8","0.60",
"Sweden","747","[647.6-861.6]","7.4","5.5","0.68",
"Croatia","721","[579.3-897.3]","17.6","12.2","1.43",
"Sudan","712","[625.5-810.4]","1.6","2.5","0.47",
"Cambodia","709","[333.1-1509.1]","4.2","4.5","0.61",
"Nepal","701","[562.8-873.2]","2.4","2.5","0.66",
"Costa Rica","698","[601.2-810.3]","13.7","11.3","1.32",
"Finland","620","[546.2-703.7]","11.2","7.7","1.00",
"Denmark","575","[498.9-662.7]","9.9","7.2","0.90",
"Singapore","572","[465.0-703.6]","9.8","6.5","0.91",
"Ireland","562","[457.6-690.2]","11.4","8.8","1.11",
"Yemen","560","[343.4-913.3]","1.9","2.7","0.32",
"Serbia","531","[385.6-731.1]","6.1","3.9","0.52",
"Norway","518","[438.3-612.2]","9.6","6.8","0.92",
"Jordan","511","[410.9-635.6]","5.0","5.6","0.82",
"Kazakhstan","503","[451.2-560.7]","2.7","2.4","0.38",
"Guatemala","501","[364.7-688.3]","2.8","3.7","0.50",
"Puerto Rico","476","[413.0-548.7]","16.6","11.7","1.37",
"Slovakia","465","[416.9-518.7]","8.5","5.8","0.73",
"Papua New Guinea","462","[226.6-941.9]","5.2","6.7","1.22",
"Paraguay","461","[311.9-681.4]","6.5","6.7","0.93",
"Lebanon","444","[392.6-502.2]","6.5","6.0","0.75",
"Kenya","432","[284.2-656.6]","0.80","1.4","0.23",
"Azerbaijan","426","[352.0-515.5]","4.2","3.5","0.42",
"Tunisia","416","[332.0-521.2]","3.5","3.0","0.49",
"United Arab Emirates","405","[335.9-488.3]","4.1","5.0","1.05",
"Uzbekistan","402","[278.5-580.3]","1.2","1.2","0.17",
"Uruguay","388","[289.2-520.6]","11.2","9.3","1.04",
"Bulgaria","388","[328.6-458.1]","5.6","3.9","0.46",
"Honduras","374","[306.2-456.8]","3.8","4.3","0.51",
"New Zealand","372","[279.6-494.9]","7.7","5.8","0.73",
"Tanzania, United Republic of","360","[233.8-554.3]","0.60","1.2","0.23",
"Congo, Democratic Republic of","360","[85.9-1507.9]","0.40","0.77","0.15",
"Lithuania","357","[292.3-436.0]","13.1","8.6","1.09",
"Lao People's Democratic Republic","348","[163.5-740.7]","4.8","5.3","0.71",
"Uganda","327","[217.8-491.0]","0.71","1.5","0.24",
"Republic of Moldova","318","[190.1-531.8]","7.9","5.8","0.66",
"Latvia","312","[239.8-405.9]","16.5","10.2","1.46",
"Dominican Republic","311","[205.8-470.0]","2.9","2.7","0.32",
"Somalia","293","[95.9-895.3]","1.8","3.3","0.53",
"Cyprus","290","[204.3-411.6]","24.0","19.3","1.98",
"Kuwait","264","[221.3-315.0]","6.2","5.2","0.70",
"Afghanistan","260","[97.3-695.1]","0.67","1.1","0.14",
"Georgia","252","[234.0-271.4]","6.3","4.7","0.58",
"Panama","247","[147.3-414.3]","5.7","5.2","0.60",
"Bolivia, Plurinational State of","232","[135.3-397.7]","2.0","2.1","0.34",
"Libya","220","[132.9-364.1]","3.2","3.2","0.67",
"Nicaragua","210","[139.8-315.4]","3.2","3.2","0.46",
"Gaza Strip and West Bank","192","[73.9-498.8]","3.8","4.8","0.61",
"Oman","185","[140.5-243.6]","3.6","3.4","0.41",
"Madagascar","180","[58.9-550.0]","0.65","1.0","0.17",
"Armenia","175","[162.5-188.4]","5.9","3.7","0.83",
"Mozambique","175","[88.1-347.7]","0.56","0.94","0.11",
"Mali","174","[98.8-306.4]","0.86","1.8","0.32",
"Slovenia","169","[133.9-213.3]","8.1","5.5","0.68",
"El Salvador","156","[95.9-253.7]","2.4","2.4","0.38",
"Angola","140","[55.5-353.3]","0.43","0.87","0.17",
"Bosnia and Herzegovina","138","[76.0-250.5]","4.2","2.8","0.35",
"Zimbabwe","135","[86.8-210.1]","0.91","1.9","0.44",
"Niger","133","[32.1-551.8]","0.55","1.1","0.32",
"Cameroon","122","[48.4-307.8]","0.46","0.71","0.11",
"Côte d'Ivoire","121","[69.2-211.4]","0.46","0.91","0.32",
"Malawi","116","[37.5-358.6]","0.61","1.2","0.16",
"Jamaica","114","[59.8-217.4]","3.8","3.4","0.58",
"Ghana","108","[28.8-404.6]","0.35","0.47","0.06",
"Senegal","108","[20.1-580.6]","0.65","1.2","0.30",
"Estonia","106","[74.8-150.2]","8.0","4.7","0.77",
