Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"World","2584484","Notavailable","33.2","26.5","6.83",
"China","845680","Notavailable","58.4","36.1","9.23",
"United States of America","252345","Notavailable","76.2","37.3","9.84",
"Japan","149742","Notavailable","118.4","35.5","10.10",
"India","208439","Notavailable","15.1","15.2","2.90",
"Germany","72137","Notavailable","86.1","36.2","8.07",
"Russian Federation","76285","Notavailable","52.3","29.1","5.67",
"United Kingdom","58300","Notavailable","85.9","37.4","10.24",
"France","54876","Notavailable","84.1","40.3","8.36",
"Italy","45990","Notavailable","76.1","28.1","7.25",
"Turkey","43367","Notavailable","51.4","42.1","10.35",
"Brazil","50248","Notavailable","23.6","17.8","4.89",
"Indonesia","40563","Notavailable","14.8","14.8","3.60",
"Poland","33798","Notavailable","89.3","42.2","9.53",
"Spain","34002","Notavailable","72.7","33.5","7.25",
"Korea, Republic of","30512","Notavailable","59.5","27.4","8.06",
"Viet Nam","28414","Notavailable","29.2","24.7","5.57",
"Canada","28567","Notavailable","75.7","33.1","9.22",
"Thailand","28483","Notavailable","40.8","22.9","6.57",
"Philippines","20741","Notavailable","18.9","22.7","6.21",
"Pakistan","27497","Notavailable","12.4","17.2","3.38",
"Ukraine","19340","Notavailable","44.2","23.8","4.51",
"Bangladesh","26984","Notavailable","16.4","19.0","3.92",
"Korea, Democratic Republic of","13983","Notavailable","54.2","37.9","9.82",
"The Netherlands","15058","Notavailable","87.9","37.7","9.38",
"Australia","15950","Notavailable","62.5","31.8","8.40",
"Romania","14051","Notavailable","73.0","37.1","7.21",
"Argentina","13414","Notavailable","29.7","21.4","5.28",
"Iran, Islamic Republic of","11604","Notavailable","13.8","13.9","4.81",
"Hungary","11427","Notavailable","118.3","56.5","11.31",
"Belgium","10638","Notavailable","91.8","42.9","9.70",
"Greece","9563","Notavailable","91.7","37.3","8.84",
"South Africa","10883","Notavailable","18.3","22.1","5.44",
"Myanmar","10609","Notavailable","19.5","20.1","5.21",
"Serbia","8911","Notavailable","102.0","52.2","9.81",
"Mexico","9088","Notavailable","7.0","6.4","1.98",
"Morocco","8084","Notavailable","21.9","20.1","4.21",
"Colombia","7790","Notavailable","15.3","11.9","3.80",
"Cuba","7773","Notavailable","68.6","33.7","8.84",
"Czechia","7451","Notavailable","69.6","30.5","7.53",
"Egypt","7857","Notavailable","7.7","9.6","2.49",
"Portugal","6518","Notavailable","63.9","27.2","6.01",
"Venezuela, Bolivarian Republic of","5877","Notavailable","20.7","18.1","4.92",
"Austria","5821","Notavailable","64.6","30.2","6.61",
"Malaysia","5881","Notavailable","18.2","17.6","4.45",
"Denmark","5451","Notavailable","94.1","40.3","10.30",
"Algeria","5067","Notavailable","11.6","12.2","3.01",
"Kazakhstan","5215","Notavailable","27.8","24.5","4.95",
"Sweden","5254","Notavailable","52.0","20.8","6.05",
"Switzerland","5235","Notavailable","60.5","26.4","6.75",
"Bulgaria","4755","Notavailable","68.4","32.2","6.02",
"Belarus","4854","Notavailable","51.4","28.5","5.34",
"Chile","4264","Notavailable","22.3","13.2","4.22",
"Slovakia","3895","Notavailable","71.3","37.4","7.91",
"Norway","3700","Notavailable","68.3","30.8","8.77",
"Ireland","3588","Notavailable","72.7","38.6","11.32",
"Croatia","3574","Notavailable","87.1","38.9","8.28",
"Finland","3325","Notavailable","60.0","22.4","6.27",
"Tunisia","3175","Notavailable","26.9","21.1","6.39",
"Singapore","3148","Notavailable","53.8","28.8","9.37",
"Peru","3555","Notavailable","10.8","8.9","2.61",
"Sri Lanka","4892","Notavailable","22.8","16.4","3.42",
"Israel","2807","Notavailable","32.4","22.1","5.68",
"Iraq","2812","Notavailable","7.0","13.2","4.06",
"Bosnia and Herzegovina","2711","Notavailable","82.6","40.9","8.08",
"Nepal","3349","Notavailable","11.5","13.8","3.27",
"New Zealand","2733","Notavailable","56.7","28.6","7.42",
"Ethiopia","3676","Notavailable","3.2","5.7","1.26",
"Uzbekistan","3318","Notavailable","9.9","11.8","2.59",
"Syrian Arab Republic","2136","Notavailable","12.2","16.4","4.69",
"Cambodia","2399","Notavailable","14.3","18.8","4.83",
"Uruguay","1940","Notavailable","55.8","33.3","7.34",
"Nigeria","3081","Notavailable","1.5","3.2","0.81",
"Azerbaijan","1826","Notavailable","18.0","15.9","3.75",
"Dominican Republic","1727","Notavailable","15.9","14.6","4.46",
"Republic of Moldova","1859","Notavailable","46.1","28.7","5.50",
"Lithuania","1693","Notavailable","62.2","27.2","6.12",
"Slovenia","1634","Notavailable","78.6","35.0","7.62",
"Afghanistan","2383","Notavailable","6.1","12.7","2.67",
"Georgia","1622","Notavailable","40.7","22.8","4.90",
"Lebanon","1481","Notavailable","21.7","19.9","5.49",
"Armenia","1367","Notavailable","46.1","28.7","7.11",
"Papua New Guinea","1894","Notavailable","21.2","33.6","7.75",
"Latvia","1423","Notavailable","75.4","32.4","7.74",
"Ecuador","1418","Notavailable","8.0","7.2","2.50",
"Saudi Arabia","1609","Notavailable","4.6","6.8","2.00",
